offset,original,current,classification
0x781D5,5F,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D6,6B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D7,31,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D8,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781D9,31,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DA,95,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DB,2F,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DC,6C,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DE,5D,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781DF,82,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E0,4E,4D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E1,1E,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E2,21,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E3,1B,27,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E4,27,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E5,2B,17,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E6,00,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E7,00,DE,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E8,78,C8,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781E9,5F,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781EA,6B,BF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781EB,31,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781EC,BC,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781ED,31,11,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781EE,95,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781EF,2F,38,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F0,A6,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F1,DE,BB,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F2,B4,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F3,31,E1,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F4,64,8F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F5,82,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F6,5C,4C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F7,1E,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F8,21,1D,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781F9,1B,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FA,27,AF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FB,2B,00,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FC,00,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FD,00,5C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FE,00,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x781FF,00,5F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78200,81,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78201,31,4F,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78202,62,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78203,2F,E0,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78204,DD,48,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78205,60,DF,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78206,31,41,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78207,C9,9C,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78208,1E,E9,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
0x78209,21,A3,CATALOG_OR_CURRENT_TEXT_AND_ALIGNMENT
