file,size,in_patch_zip,whole_file_changed,changed_bytes,corpus_total,high,medium,low,e2_valid,e2_other,inline_changed,original_high,occupied_slots,free_slots,remaining_for_e2,capacity_state
C1/SC011.DAT,305152,1,1,191,29,8,21,0,0,0,8,0,31,48,8,fits_current_e2_bank
C1/SC021.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
C1/SC031.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
C1/SC041.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,60,19,7,fits_current_e2_bank
C1/SC051.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
C1/SC061.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,36,43,7,fits_current_e2_bank
C1/SC071.DAT,335872,0,0,0,5,0,5,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C1/SC072.DAT,335872,0,0,0,5,0,5,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C1/SC081.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,38,41,7,fits_current_e2_bank
C1/SC091.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
C2/SC0A1.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
C2/SC0B1.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C2/SC0B2.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C2/SC0B3.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C2/SC0B4.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C2/SC0B5.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
C2/SC0B6.DAT,305152,0,0,0,120,116,4,0,0,0,0,116,79,0,116,needs_choice_inline_or_bank_extension
C2/SC0C1.DAT,305152,0,0,0,28,7,21,0,0,0,0,7,31,48,7,fits_current_e2_bank
COMM.DAT,737280,0,0,0,0,0,0,0,0,0,0,0,79,0,0,no_high_confidence_dialogue
D/SD011.DAT,305152,1,1,976,14,10,4,0,10,0,0,0,13,66,0,covered
D/SD012.DAT,305152,1,1,227,6,3,3,0,3,0,0,0,3,76,0,covered
D/SD013.DAT,305152,1,1,332,9,6,3,0,6,0,0,0,6,73,0,covered
D/SD014.DAT,305152,0,0,0,9,6,3,0,0,0,0,6,0,79,6,fits_current_e2_bank
D/SD015.DAT,305152,0,0,0,9,6,3,0,0,0,0,6,0,79,6,fits_current_e2_bank
D/SD021.DAT,305152,0,0,0,9,9,0,0,0,0,0,9,0,79,9,fits_current_e2_bank
D/SD031.DAT,305152,1,0,0,45,44,1,0,0,0,0,44,63,16,44,needs_choice_inline_or_bank_extension
D/SD041.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
D/SD051.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
D/SD061.DAT,305152,0,0,0,0,0,0,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
D/SD071.DAT,305152,0,0,0,29,6,23,0,0,0,0,6,52,27,6,fits_current_e2_bank
E1/SE011.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE012.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE013.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE014.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE015.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE016.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE017.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE018.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE019.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E1/SE01A.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE021.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE022.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE023.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE024.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE025.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE026.DAT,305152,0,0,0,24,0,24,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE027.DAT,305152,0,0,0,24,0,24,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE028.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
E2/SE029.DAT,305152,0,0,0,21,0,21,0,0,0,0,0,0,79,0,no_high_confidence_dialogue
